0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:43:32 -0300] "POST /SalaArcoIris/rest/aluno/inserirA HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:43:32 -0300] "GET /SalaArcoIris/js/cadastroAluno.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:43:32 -0300] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca= HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:43:36 -0300] "GET /SalaArcoIris/js/cadastroAluno.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:43:36 -0300] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca=undefined HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:44:16 -0300] "GET /SalaArcoIris/pages/home/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:44:17 -0300] "GET /SalaArcoIris/js/cadastroAluno.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:44:17 -0300] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca= HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:44:22 -0300] "GET /SalaArcoIris/rest/aluno/checkIdA?idAluno=32 HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:44:22 -0300] "GET /SalaArcoIris/rest/responsavel/checkIdR?idResponsavel=956837 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:44:22 -0300] "GET /SalaArcoIris/rest/responsavel/checkIdR?idResponsavel=956837 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:44:26 -0300] "GET /SalaArcoIris/js/cadastroAluno.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:44:26 -0300] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca= HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:44:27 -0300] "GET /SalaArcoIris/rest/aluno/checkIdA?idAluno=29 HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:44:27 -0300] "GET /SalaArcoIris/rest/responsavel/checkIdR?idResponsavel=0 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:44:29 -0300] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca= HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:44:30 -0300] "GET /SalaArcoIris/rest/aluno/checkIdA?idAluno=32 HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:44:30 -0300] "GET /SalaArcoIris/rest/responsavel/checkIdR?idResponsavel=956837 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:44:30 -0300] "GET /SalaArcoIris/rest/responsavel/checkIdR?idResponsavel=956837 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:44:43 -0300] "GET /SalaArcoIris/js/cadastroAluno.js HTTP/1.1" 304 -
