127.0.0.1 - - [12/Dec/2020:10:36:18 -0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:36:19 -0200] "GET /SalaArcoIris/pages/listaAlunos.html HTTP/1.1" 200 1576
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:36:20 -0200] "GET /SalaArcoIris/imgs/icone_menu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:36:24 -0200] "GET /SalaArcoIris/pages/listaAlunos.html HTTP/1.1" 200 1576
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:36:24 -0200] "GET /SalaArcoIris/css/menuFixo.css HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:36:24 -0200] "GET /SalaArcoIris/css/cadastroAluno.css HTTP/1.1" 200 2090
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:36:24 -0200] "GET /SalaArcoIris/js/menuFixo.js HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:36:24 -0200] "GET /SalaArcoIris/js/cadastroAluno.js HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:36:25 -0200] "GET /SalaArcoIris/pages/fix/menuFixo.html HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:36:25 -0200] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:36:25 -0200] "GET /SalaArcoIris/imgs/icone_menu.jpg HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:36:25 -0200] "GET /SalaArcoIris/imgs/logo.png HTTP/1.1" 200 16965
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:41:15 -0200] "GET /SalaArcoIris/pages/listaAlunos.html HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:41:15 -0200] "GET /SalaArcoIris/css/listaAluno.css HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:41:16 -0200] "GET /SalaArcoIris/pages/listaAlunos.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:41:16 -0200] "GET /SalaArcoIris/css/listaAluno.css HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:41:35 -0200] "GET /SalaArcoIris/pages/listaAlunos.html HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:41:35 -0200] "GET /SalaArcoIris/css/listaAluno.css HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:41:37 -0200] "GET /action_page.php?search2= HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:43:10 -0200] "GET /SalaArcoIris/pages/listaAlunos.html HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:43:10 -0200] "GET /SalaArcoIris/css/listaAluno.css HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:44:09 -0200] "GET /SalaArcoIris/pages/listaAlunos.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:44:09 -0200] "GET /SalaArcoIris/css/listaAluno.css HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:44:13 -0200] "GET /SalaArcoIris/pages/listaAlunos.html HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:44:13 -0200] "GET /SalaArcoIris/css/listaAluno.css HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:44:13 -0200] "GET /SalaArcoIris/css/menuFixo.css HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:44:13 -0200] "GET /SalaArcoIris/js/menuFixo.js HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:44:14 -0200] "GET /SalaArcoIris/pages/fix/menuFixo.html HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:44:14 -0200] "GET /SalaArcoIris/imgs/logo.png HTTP/1.1" 200 16965
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:44:14 -0200] "GET /SalaArcoIris/imgs/icone_menu.jpg HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:44:24 -0200] "GET /SalaArcoIris/pages/cadastro.html HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:44:28 -0200] "GET /SalaArcoIris/pages/cadastroAluno.html HTTP/1.1" 200 2675
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:44:28 -0200] "GET /SalaArcoIris/css/cadastroAluno.css HTTP/1.1" 200 2090
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:44:28 -0200] "GET /SalaArcoIris/js/cadastroAluno.js HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:46:32 -0200] "GET /SalaArcoIris/pages/listaAlunos.html HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:46:32 -0200] "GET /SalaArcoIris/css/listaAluno.css HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:46:33 -0200] "GET /SalaArcoIris/pages/listaAlunos.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:46:33 -0200] "GET /SalaArcoIris/css/listaAluno.css HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:46:39 -0200] "GET /SalaArcoIris/pages/listaAlunos.html HTTP/1.1" 200 1126
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:46:39 -0200] "GET /SalaArcoIris/css/listaAluno.css HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:46:40 -0200] "GET /SalaArcoIris/pages/listaAlunos.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:46:40 -0200] "GET /SalaArcoIris/css/listaAluno.css HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:46:55 -0200] "GET /SalaArcoIris/pages/listaAlunos.html HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:46:55 -0200] "GET /SalaArcoIris/css/listaAlunos.css HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:46:56 -0200] "GET /SalaArcoIris/pages/listaAlunos.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:47:35 -0200] "GET /SalaArcoIris/pages/listaAlunos.html HTTP/1.1" 200 1105
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:47:35 -0200] "GET /SalaArcoIris/css/listaAlunos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2020:10:48:10 -0200] "GET /SalaArcoIris/pages/listaAlunos.html HTTP/1.1" 304 -
