127.0.0.1 - - [16/Dec/2020:09:54:05 -0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:54:06 -0200] "GET /SalaArcoIris/pages/listaAlunos.html HTTP/1.1" 200 3309
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:54:06 -0200] "GET /SalaArcoIris/css/menuFixo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:54:06 -0200] "GET /SalaArcoIris/css/listaBusca.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:54:06 -0200] "GET /SalaArcoIris/css/formularios.css HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:54:07 -0200] "GET /SalaArcoIris/js/cadastroAluno.js HTTP/1.1" 200 5578
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:54:07 -0200] "GET /SalaArcoIris/pages/fix/menuFixo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:55:45 -0200] "GET /SalaArcoIris/pages/cadastroAluno.html HTTP/1.1" 200 2635
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:55:45 -0200] "GET /SalaArcoIris/css/menuFixo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:55:45 -0200] "GET /SalaArcoIris/css/base.css HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:55:45 -0200] "GET /SalaArcoIris/css/formularios.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:55:45 -0200] "GET /SalaArcoIris/js/cadastroAluno.js HTTP/1.1" 200 5578
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:55:46 -0200] "GET /SalaArcoIris/pages/fix/menuFixo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:55:46 -0200] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:55:46 -0200] "GET /SalaArcoIris/rest/aluno/buscar?valorBusca=undefined HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:56:08 -0200] "GET /SalaArcoIris/pages/listaAlunos.html HTTP/1.1" 200 3424
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:56:08 -0200] "GET /SalaArcoIris/css/listaBusca.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:56:08 -0200] "GET /SalaArcoIris/rest/aluno/buscar?valorBusca= HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:56:16 -0200] "GET /SalaArcoIris/rest/aluno/buscar?valorBusca=t HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:56:16 -0200] "GET /SalaArcoIris/pages/listaAlunos.html?search2=t HTTP/1.1" 200 3424
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:56:16 -0200] "GET /SalaArcoIris/js/cadastroAluno.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:56:16 -0200] "GET /SalaArcoIris/rest/aluno/buscar?valorBusca= HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:56:41 -0200] "GET /SalaArcoIris/pages/listaAlunos.html?search2= HTTP/1.1" 200 3424
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:56:41 -0200] "GET /SalaArcoIris/rest/aluno/buscar?valorBusca= HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:56:42 -0200] "GET /SalaArcoIris/rest/aluno/buscar?valorBusca= HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:56:45 -0200] "GET /SalaArcoIris/rest/aluno/buscar?valorBusca= HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:56:46 -0200] "GET /SalaArcoIris/pages/listaAlunos.html?search2=t HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:56:46 -0200] "GET /SalaArcoIris/rest/aluno/buscar?valorBusca= HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:56:47 -0200] "GET /SalaArcoIris/pages/listaAlunos.html?search2= HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:56:47 -0200] "GET /SalaArcoIris/rest/aluno/buscar?valorBusca= HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:57:03 -0200] "GET /SalaArcoIris/pages/listaAlunos.html?search2= HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:57:03 -0200] "GET /SalaArcoIris/js/cadastroAluno.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:57:03 -0200] "GET /SalaArcoIris/rest/aluno/buscar?valorBusca= HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:57:04 -0200] "GET /SalaArcoIris/pages/listaAlunos.html?search2= HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:57:04 -0200] "GET /SalaArcoIris/rest/aluno/buscar?valorBusca= HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:57:06 -0200] "GET /SalaArcoIris/pages/listaAlunos.html?search2= HTTP/1.1" 200 3424
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:57:06 -0200] "GET /SalaArcoIris/css/menuFixo.css HTTP/1.1" 200 1548
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:57:06 -0200] "GET /SalaArcoIris/css/listaBusca.css HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:57:06 -0200] "GET /SalaArcoIris/css/formularios.css HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:57:06 -0200] "GET /SalaArcoIris/js/menuFixo.js HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:57:06 -0200] "GET /SalaArcoIris/js/cadastroAluno.js HTTP/1.1" 200 5578
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:57:06 -0200] "GET /SalaArcoIris/pages/fix/menuFixo.html HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:57:06 -0200] "GET /SalaArcoIris/rest/aluno/buscar?valorBusca= HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:57:06 -0200] "GET /SalaArcoIris/imgs/icone_menu.jpg HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:57:06 -0200] "GET /SalaArcoIris/imgs/logo.png HTTP/1.1" 200 16965
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:57:07 -0200] "GET /SalaArcoIris/pages/listaAlunos.html?search2= HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:57:07 -0200] "GET /SalaArcoIris/rest/aluno/buscar?valorBusca= HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:57:21 -0200] "GET /SalaArcoIris/pages/listaAlunos.html?search2= HTTP/1.1" 200 3437
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:57:21 -0200] "GET /SalaArcoIris/rest/aluno/buscar?valorBusca= HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:57:22 -0200] "GET /SalaArcoIris/pages/listaAlunos.html?search2= HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:57:22 -0200] "GET /SalaArcoIris/rest/aluno/buscar?valorBusca= HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:57:56 -0200] "GET /SalaArcoIris/pages/listaAlunos.html?search2= HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:57:56 -0200] "GET /SalaArcoIris/js/cadastroAluno.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:57:56 -0200] "GET /SalaArcoIris/rest/aluno/buscar?valorBusca= HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:57:56 -0200] "GET /SalaArcoIris/pages/listaAlunos.html?search2= HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:57:56 -0200] "GET /SalaArcoIris/rest/aluno/buscar?valorBusca= HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:58:40 -0200] "GET /SalaArcoIris/pages/listaAlunos.html?search2= HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:58:40 -0200] "GET /SalaArcoIris/js/cadastroAluno.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:58:40 -0200] "GET /SalaArcoIris/rest/aluno/buscar?valorBusca= HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:58:42 -0200] "GET /SalaArcoIris/pages/listaAlunos.html?search2= HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:58:42 -0200] "GET /SalaArcoIris/css/menuFixo.css HTTP/1.1" 200 1548
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:58:42 -0200] "GET /SalaArcoIris/css/listaBusca.css HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [16/Dec/2020:09:58:42 -0200] "GET /SalaArcoIris/css/formularios.css HTTP/1.1" 200 2040
