0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:11:03 -0200] "GET /SalaArcoIris/css/formularios.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:11:03 -0200] "GET /SalaArcoIris/pages/cadastroLivro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:11:03 -0200] "GET /SalaArcoIris/css/formularios.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:11:32 -0200] "GET /SalaArcoIris/pages/cadastroLivro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:11:32 -0200] "GET /SalaArcoIris/css/formularios.css HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:11:33 -0200] "GET /SalaArcoIris/pages/cadastroLivro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:11:33 -0200] "GET /SalaArcoIris/css/formularios.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:11:45 -0200] "GET /SalaArcoIris/pages/cadastroLivro.html HTTP/1.1" 200 2265
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:11:45 -0200] "GET /SalaArcoIris/css/menuFixo.css HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:11:45 -0200] "GET /SalaArcoIris/css/base.css HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:11:45 -0200] "GET /SalaArcoIris/css/formularios.css HTTP/1.1" 200 1892
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:11:45 -0200] "GET /SalaArcoIris/js/cadastroLivro.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:11:45 -0200] "GET /SalaArcoIris/js/menuFixo.js HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:11:45 -0200] "GET /SalaArcoIris/pages/fix/menuFixo.html HTTP/1.1" 200 1140
