127.0.0.1 - - [17/Dec/2020:19:47:29 -0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [17/Dec/2020:19:47:31 -0200] "GET /SalaArcoIris/pages/listaAlunos.html HTTP/1.1" 200 3446
0:0:0:0:0:0:0:1 - - [17/Dec/2020:19:47:31 -0200] "GET /SalaArcoIris/css/menuFixo.css HTTP/1.1" 200 1548
0:0:0:0:0:0:0:1 - - [17/Dec/2020:19:47:31 -0200] "GET /SalaArcoIris/css/listaBusca.css HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [17/Dec/2020:19:47:31 -0200] "GET /SalaArcoIris/css/formularios.css HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [17/Dec/2020:19:47:31 -0200] "GET /SalaArcoIris/js/menuFixo.js HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [17/Dec/2020:19:47:31 -0200] "GET /SalaArcoIris/js/cadastroAluno.js HTTP/1.1" 200 6650
0:0:0:0:0:0:0:1 - - [17/Dec/2020:19:47:32 -0200] "GET /SalaArcoIris/pages/fix/menuFixo.html HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [17/Dec/2020:19:47:32 -0200] "GET /SalaArcoIris/imgs/logo.png HTTP/1.1" 200 16965
0:0:0:0:0:0:0:1 - - [17/Dec/2020:19:47:32 -0200] "GET /SalaArcoIris/imgs/icone_menu.jpg HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [17/Dec/2020:19:47:37 -0200] "GET /SalaArcoIris/pages/listaAlunos.html HTTP/1.1" 200 3446
0:0:0:0:0:0:0:1 - - [17/Dec/2020:19:47:37 -0200] "GET /SalaArcoIris/css/menuFixo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2020:19:47:37 -0200] "GET /SalaArcoIris/css/listaBusca.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2020:19:47:37 -0200] "GET /SalaArcoIris/css/formularios.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2020:19:47:37 -0200] "GET /SalaArcoIris/js/cadastroAluno.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2020:19:47:37 -0200] "GET /SalaArcoIris/pages/fix/menuFixo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2020:19:47:38 -0200] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca= HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [17/Dec/2020:19:47:38 -0200] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [17/Dec/2020:19:47:41 -0200] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca= HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [17/Dec/2020:19:55:45 -0200] "GET /SalaArcoIris/pages/listaAlunos.html HTTP/1.1" 200 3446
0:0:0:0:0:0:0:1 - - [17/Dec/2020:19:55:45 -0200] "GET /SalaArcoIris/css/menuFixo.css HTTP/1.1" 200 1548
0:0:0:0:0:0:0:1 - - [17/Dec/2020:19:55:45 -0200] "GET /SalaArcoIris/css/listaBusca.css HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [17/Dec/2020:19:55:45 -0200] "GET /SalaArcoIris/css/formularios.css HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [17/Dec/2020:19:55:45 -0200] "GET /SalaArcoIris/js/menuFixo.js HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [17/Dec/2020:19:55:45 -0200] "GET /SalaArcoIris/js/cadastroAluno.js HTTP/1.1" 200 6648
0:0:0:0:0:0:0:1 - - [17/Dec/2020:19:55:46 -0200] "GET /SalaArcoIris/pages/fix/menuFixo.html HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [17/Dec/2020:19:55:46 -0200] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca= HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [17/Dec/2020:19:55:46 -0200] "GET /SalaArcoIris/imgs/icone_menu.jpg HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [17/Dec/2020:19:55:46 -0200] "GET /SalaArcoIris/imgs/logo.png HTTP/1.1" 200 16965
0:0:0:0:0:0:0:1 - - [17/Dec/2020:20:00:34 -0200] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca=teste HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [17/Dec/2020:20:02:41 -0200] "GET /SalaArcoIris/pages/listaAlunos.html HTTP/1.1" 200 3446
0:0:0:0:0:0:0:1 - - [17/Dec/2020:20:02:41 -0200] "GET /SalaArcoIris/css/menuFixo.css HTTP/1.1" 200 1548
0:0:0:0:0:0:0:1 - - [17/Dec/2020:20:02:41 -0200] "GET /SalaArcoIris/css/listaBusca.css HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [17/Dec/2020:20:02:41 -0200] "GET /SalaArcoIris/css/formularios.css HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [17/Dec/2020:20:02:41 -0200] "GET /SalaArcoIris/js/menuFixo.js HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [17/Dec/2020:20:02:41 -0200] "GET /SalaArcoIris/js/cadastroAluno.js HTTP/1.1" 200 6649
0:0:0:0:0:0:0:1 - - [17/Dec/2020:20:02:42 -0200] "GET /SalaArcoIris/pages/fix/menuFixo.html HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [17/Dec/2020:20:02:42 -0200] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca=undefined HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [17/Dec/2020:20:02:42 -0200] "GET /SalaArcoIris/imgs/icone_menu.jpg HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [17/Dec/2020:20:02:42 -0200] "GET /SalaArcoIris/imgs/logo.png HTTP/1.1" 200 16965
0:0:0:0:0:0:0:1 - - [17/Dec/2020:20:02:43 -0200] "GET /SalaArcoIris/pages/listaAlunos.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2020:20:02:43 -0200] "GET /SalaArcoIris/js/cadastroAluno.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2020:20:02:43 -0200] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca=undefined HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [17/Dec/2020:20:03:19 -0200] "GET /SalaArcoIris/pages/listaAlunos.html HTTP/1.1" 200 3446
0:0:0:0:0:0:0:1 - - [17/Dec/2020:20:03:19 -0200] "GET /SalaArcoIris/css/menuFixo.css HTTP/1.1" 200 1548
0:0:0:0:0:0:0:1 - - [17/Dec/2020:20:03:19 -0200] "GET /SalaArcoIris/css/listaBusca.css HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [17/Dec/2020:20:03:19 -0200] "GET /SalaArcoIris/js/menuFixo.js HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [17/Dec/2020:20:03:19 -0200] "GET /SalaArcoIris/js/cadastroAluno.js HTTP/1.1" 200 6649
0:0:0:0:0:0:0:1 - - [17/Dec/2020:20:03:19 -0200] "GET /SalaArcoIris/css/formularios.css HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [17/Dec/2020:20:03:19 -0200] "GET /SalaArcoIris/pages/fix/menuFixo.html HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [17/Dec/2020:20:03:19 -0200] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca=undefined HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [17/Dec/2020:20:03:19 -0200] "GET /SalaArcoIris/imgs/icone_menu.jpg HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [17/Dec/2020:20:03:19 -0200] "GET /SalaArcoIris/imgs/logo.png HTTP/1.1" 200 16965
